Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,4911.92,58943.04,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),,S3 Standard,0,1740.8,20889.60,USD,S3 Standard storage (75 TB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,
My Estimate,US East (N. Virginia),,Amazon Redshift,0,3171.12,38053.44,USD,"Nodes (4), Instance type (ra3.xlplus), Utilization (On-Demand only) (100 %Utilized/Month), Pricing strategy (OnDemand)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
